EventID,Timestamp,Flag,Name_src,DM,MaxSNR,BeamID,TriggerSent,filename,TriggerInfo,mtime
"20250523_055801Z","2025-05-23T05:58:01.420805+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,35.65625,117,true,"event-20250523_055801Z.json",[object Object],1747979884052.4453
"20250523_054233Z","2025-05-23T05:42:33.374725+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,15.4765625,118,true,"event-20250523_054233Z.json",[object Object],1747978956083.6016
"20250523_053549Z","2025-05-23T05:35:49.017605+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,25.90625,119,true,"event-20250523_053549Z.json",[object Object],1747978551526.8027
"20250522_072541Z","2025-05-22T07:25:41.080069+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,33.3125,125,true,"event-20250522_072541Z.json",[object Object],1747898758216.8625
"20250522_065927Z","2025-05-22T06:59:27.476741+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,26.953125,112,true,"event-20250522_065927Z.json",[object Object],1747897173163.2197
"20250522_064847Z","2025-05-22T06:48:47.773701+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,16.578125,113,true,"event-20250522_064847Z.json",[object Object],1747896543851.5552
"20250522_064339Z","2025-05-22T06:43:39.971589+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,19.4375,113,true,"event-20250522_064339Z.json",[object Object],1747896234477.2273
"20250522_061136Z","2025-05-22T06:11:36.633349+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,20.03125,116,true,"event-20250522_061136Z.json",[object Object],1747894310005.6926
"20250522_051416Z","2025-05-22T05:14:16.596485+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,38.15625,121,true,"event-20250522_051416Z.json",[object Object],1747890859477.3645
"20250522_051015Z","2025-05-22T05:10:15.687173+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,15.671875,121,true,"event-20250522_051015Z.json",[object Object],1747890618257.5183
"20250521_065137Z","2025-05-21T06:51:37.086115+00:00","PSR","Crab (PSR B0531+21)",56.29589,30.16544,113,true,"event-20250521_065137Z.json",[object Object],1747810300722.217
"20250521_055918Z","2025-05-21T05:59:18.611963+00:00","PSR","Crab (PSR B0531+21)",56.76502,19.33028,117,true,"event-20250521_055918Z.json",[object Object],1747807161893.6199
